"species","lon","lat","institution","catalog","locality","country"
"Eucalyptus camaldulensis",-75.152469,8.312122,"Jardín Botánico de Cartagena ""Guillermo Piñeres"" (JBC)","5233","","CO"
"Eucalyptus camaldulensis",-58.14776,6.802964,"TRIN","TRIN17257","Georgetown, Guyana, W.I.","GY"
"Eucalyptus camaldulensis",-78.5475,-0.2975,"INABIOEC","241516","Parque Las Cuadras.","EC"
"Eucalyptus camaldulensis",-79.248278,-3.969472,"UNL","2130","","EC"
"Eucalyptus camaldulensis",-66.15,-17.383333,"NY","101495500","On or near campus of Universidad de San Simon.","BO"
"Eucalyptus camaldulensis",-53.23477,3.92404,"","","","GF"
"Eucalyptus camaldulensis",-68.08,-16.52,"NSW","NSW370497","CULTIVATED - La Paz: Prov. Murillo, La Paz - 'Plantas Ornamentales'.","BO"
"Eucalyptus camaldulensis",-75.4,-10.67,"NSW","NSW370500","CULTIVATED - Dept. Pasco. Prov. Oxapampa, Paxapampa.","PE"
"Eucalyptus camaldulensis",-46.63,-23.540278,"NY","NY00579781","Sao Paulo, S.P. Brooklim Paulista.","BR"
"Eucalyptus camaldulensis",-43.229861,-20.250028,"FUNED","4763","Paracatu de Baixo","BR"
"Eucalyptus camaldulensis",-46.6304064,-23.5441636,"NY","1081570","Sao Paulo, Broklyn Paulista.","BR"
"Eucalyptus camaldulensis",-46.009444,-17.009722,"FUNED","4109","Brasilandia de Minas","BR"
"Eucalyptus camaldulensis",-76.657583,2.387306,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","FMB-99420","Vereda los Robles","CO"
"Eucalyptus camaldulensis",-74.131361,4.351528,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","FMB-105301","Vereda Curubital","CO"
"Eucalyptus camaldulensis",-52.3,4.91,"US","US 3205221","Ile de Cayenne, Trou Biran","GF"
"Eucalyptus camaldulensis",-75.4,-10.66666,"MO","307519","Oxapampa.","PE"
