"species","lon","lat","institution","catalog","locality","country"
"Eucalyptus globulus",-75.609695,6.257693,"Universidad de Antioquia (UdeA)","2280","","CO"
"Eucalyptus globulus",-73.01577,4.02421,"Universidad de Antioquia (UdeA)","170028","","CO"
"Eucalyptus globulus",-75.672817,6.913842,"Universidad de Antioquia (UdeA)","168162","Km 1 vía a Ituango","CO"
"Eucalyptus globulus",-75.568952,6.267645,"Universidad de Antioquia (UdeA)","13470","Universidad de Antioquia. Ciudad Universitaria","CO"
"Eucalyptus globulus",-77.131,1.477389,"FNC","2010:FNC:GEF:PNUD:Plantae:003657","Vereda Santa Teresa, Transecto 5","CO"
"Eucalyptus globulus",-79.216,-3.616,"AU","L.Ellemann66710","Tuncarta. 3 km north-easth of Saraguro. Information of vernacular name and use: Rosa Alegria Gonzales, Saraguro-indian. 48 years.","EC"
"Eucalyptus globulus",-78.5,-0.45,"AU","H.Balslev1832","Northern slopes of Mt. Pasochoa south of Quito. Patches of shrubby montane forest and pastures.","EC"
"Eucalyptus globulus",-74.347058,4.841363,"Cenit Transporte y Logística de Hidrocarburos S.A.S. (CENIT)","","Vereda Mancilla. Planta Ecopetrol Mansilla.","CO"
"Eucalyptus globulus",-73.904628,4.978244,"Cenit Transporte y Logística de Hidrocarburos S.A.S. (CENIT)","","Vereda La Fuente. Planta Cenit Ecopetrol","CO"
"Eucalyptus globulus",-73.918761,4.999394,"Cenit Transporte y Logística de Hidrocarburos S.A.S. (CENIT)","","Vereda El Porvenir.","CO"
"Eucalyptus globulus",-73.909347,5.014647,"Cenit Transporte y Logística de Hidrocarburos S.A.S. (CENIT)","","Vereda El Porvenir. Hacienda Casablanca","CO"
"Eucalyptus globulus",-78.435834,-0.197223,"QUSF","28995","Cumbaya","EC"
"Eucalyptus globulus",-78.464167,-0.085556,"QUSF","28756","Quito","EC"
"Eucalyptus globulus",-78.5833,-0.25,"QUSF","7188","Lloa","EC"
"Eucalyptus globulus",-78.2,0.183333,"QUSF","7189","Gonzalez suarez","EC"
"Eucalyptus globulus",-78.479167,-0.143056,"QUSF","24076","Quito","EC"
"Eucalyptus globulus",-78.466667,-0.183333,"QUSF","7191","Quito","EC"
"Eucalyptus globulus",-78.333333,-0.166667,"QUSF","7192","Yaruqui","EC"
"Eucalyptus globulus",-78.5,-0.366667,"QUSF","17655","Amaguana","EC"
