"species","lon","lat","institution","catalog","locality","country"
"Eucalyptus urophylla",-53.23477,3.92404,"","","","GF"
"Eucalyptus urophylla",-37.056389,-10.883611,"Universidade Federal de Sergipe","39882","Parque Gov. Josér Rollemberg Leite (Pq.da Cidade), Ambiente ruderal, solos arenosos, alta luminosidade","BR"
"Eucalyptus urophylla",-43.6886,-22.763,"Universidade Federal do Paraná","8917","Campus da UFRRJ","BR"
"Eucalyptus urophylla",-52.365306,-30.244442,"UFSCar","6247","Beira da rodovia RS 471 - Km 186.","BR"
"Eucalyptus urophylla",-47.922222,-15.729166,"Cenargen","105549","Parque Nacional de Brasília. Próximo a estrada de acesso ao Posto Pluviométrico da CAESB.","BR"
"Eucalyptus urophylla",-42.412222,-15.388888,"Cenargen","103719","Sítio 17. Ponto 2. Em quebra de relevo de chapada.","BR"
"Eucalyptus urophylla",-46.009444,-17.009722,"FUNED","4112","Brasilandia de Minas","BR"
"Eucalyptus urophylla",-42.481111,-15.949444,"Cenargen","97192","Vereda Funda. Parcela 3.","BR"
"Eucalyptus urophylla",-42.466111,-15.963888,"Cenargen","97174","Vereda Funda.","BR"
"Eucalyptus urophylla",-55.1594,5.84009,"USF","154008","Cultuurtuin.","SR"
"Eucalyptus urophylla",-47.904444,-15.916389,"Jardim Botânico de Brasília","3492","Estação Ecológica do Jardim Botânico de Brasília","BR"
"Eucalyptus urophylla",-66.88333,10.38333,"MO","3182215","Colinas de Bello Monte. Arboretum de la Escuela de Biologia. Bosque seco premontano.","VE"
"Eucalyptus urophylla",-75.4,-10.56666,"MO","307607","2 km SE of Oxapampa. Farmland.","PE"
"Eucalyptus urophylla",-47.6492,-22.7253,"IAC","53760","Esalq - linhas de quebra vento - granja","BR"
"Eucalyptus urophylla",-48.6158,-23.1017,"IAC","53763","Estação Experimental de Itatinga - Esalq - USP","BR"
"Eucalyptus urophylla",-52.3736,-30.1914,"IAC","53766","Beira da rodovia RS 471- Km 186","BR"
