"species","lon","lat","institution","catalog","locality","country"
"Eucalyptus viminalis",-64.034722,-18.786111,"MO","102749028","Entre Alto Sitano-Kajsa Monte.","BO"
"Eucalyptus viminalis",-68.13333,-16.51666,"MO","101494351","La Paz. ORNAMENTAL PLANTS.","BO"
"Eucalyptus viminalis",-68.116667,-16.5,"MO","101494064","La Paz. Ornamental plants from the Jardín Botánico Municipal.","BO"
"Eucalyptus viminalis",-70.75,-31.7,"PUCV","angio:5915","Salamanca","CL"
"Eucalyptus viminalis",-71.617,-33.05,"PUCV","angio:3800","Fundo Pajonal","CL"
"Eucalyptus viminalis",-51.163333,-29.130278,"UCS","52694","JBCS","BR"
"Eucalyptus viminalis",-40.956667,-3.805,"MBM","MBM419270","Tabocas","BR"
"Eucalyptus viminalis",-74.10735,4.65017,"Universidad de La Salle (La Salle)","4820","","CO"
"Eucalyptus viminalis",-52.561667,-28.231944,"MBM","MBM399025","Bairro Leonardo Ilha, ao lado da UPF","BR"
"Eucalyptus viminalis",-53.086944,-24.618889,"HCF","HCF000016622","","BR"
"Eucalyptus viminalis",-73.863564,4.919818,"Grupo Energía de Bogotá (GBE)","","Guatavita","CO"
"Eucalyptus viminalis",-73.808772,4.990984,"Grupo Energía de Bogotá (GBE)","","Sesquilé","CO"
"Eucalyptus viminalis",-73.808161,5.008427,"Grupo Energía de Bogotá (GBE)","","Sesquilé","CO"
"Eucalyptus viminalis",-73.864703,4.912113,"Grupo Energía de Bogotá (GBE)","","Guatavita","CO"
"Eucalyptus viminalis",-73.838019,4.976264,"Grupo Energía de Bogotá (GBE)","","Guatavita","CO"
"Eucalyptus viminalis",-73.880236,4.890984,"Grupo Energía de Bogotá (GBE)","","Guasca","CO"
"Eucalyptus viminalis",-49.2336,-25.4507,"Universidade Federal do Paraná","16311","Politécnico, gramado em frente á administração","BR"
"Eucalyptus viminalis",-49.2523,-25.4139,"Universidade Federal do Paraná","8468","Escola de Florestas - UFPR","BR"
"Eucalyptus viminalis",-50.22,-25.740006,"MBM","384040","","BR"
"Eucalyptus viminalis",-51.659997,-25.56,"MBM","384209","","BR"
"Eucalyptus viminalis",-64.816389,-31.956111,"CORD","CORD00079219","Villa Alpina","AR"
"Eucalyptus viminalis",-64.303611,-33.111389,"CORD","CORD00079216","Las Higueras","AR"
"Eucalyptus viminalis",-47.5614,-22.4114,"IAC","14118","Horto Florestal Comp. Paulista","BR"
"Eucalyptus viminalis",-75.597302,4.998774,"Universidad de Caldas (UCALDAS)","18514","Río Chinchiná","CO"
"Eucalyptus viminalis",-75.485265,5.090566,"Universidad de Caldas (UCALDAS)","17620","Sin datos","CO"
"Eucalyptus viminalis",-75.512196,5.05802,"Universidad de Caldas (UCALDAS)","16561","Comuna La Fuente (Comuna 10)","CO"
"Eucalyptus viminalis",-75.449901,5.03216,"Universidad de Caldas (UCALDAS)","15561","Comuna Tesorito (Comuna 7)","CO"
"Eucalyptus viminalis",-75.580835,5.069442,"Universidad de Caldas (UCALDAS)","6531","Sin datos","CO"
"Eucalyptus viminalis",-75.50226,5.112327,"Universidad de Caldas (UCALDAS)","6528","Vereda Alto Bonito","CO"
"Eucalyptus viminalis",-75.495525,5.055659,"Universidad de Caldas (UCALDAS)","6529","Universidad de Caldas, Jardín Botánico","CO"
"Eucalyptus viminalis",-52.29,-25.371667,"IF","51626","Rod. Para faxinal saindo do município de Laranjeiras, em frente a Copapar","BR"
"Eucalyptus viminalis",-50.174444,-29.480833,"PUCRS","9928","CPCN Pró-Mata","BR"
"Eucalyptus viminalis",-51.6597,-25.6956,"IAC","53768","Rod. para faxinal saindo do municipio de laranjeiras, em frente a copapar","BR"
"Eucalyptus viminalis",-49.207806,-25.427667,"PNFM","1034","Colégio Estadual Paulo Leminski, Tarumã","BR"
